"","Month","New_date","Region","Price","New_region","Final_date","highlight_flag","Region_factor","label"
"104","Dec-15","01/12/2015","West.Midlands",631,"West Midlands",2015-12-01,FALSE,"West Midlands",NA
"105","Dec-15","01/12/2015","East",839,"East",2015-12-01,TRUE,"East",NA
"106","Dec-15","01/12/2015","London",1644,"London",2015-12-01,TRUE,"London",NA
"107","Dec-15","01/12/2015","South.East",960,"South East",2015-12-01,TRUE,"South East",NA
"108","Dec-15","01/12/2015","South.West",799,"South West",2015-12-01,FALSE,"South West",NA
"109","Jan-16","01/01/2016","North.East",536,"North East",2016-01-01,FALSE,"North East",NA
"110","Jan-16","01/01/2016","North.West",601,"North West",2016-01-01,FALSE,"North West",NA
"111","Jan-16","01/01/2016","Yorkshire.and.the.Humber",586,"Yorkshire and the Humber",2016-01-01,FALSE,"Yorkshire and the Humber",NA
"112","Jan-16","01/01/2016","East.Midlands",576,"East Midlands",2016-01-01,FALSE,"East Midlands",NA
"113","Jan-16","01/01/2016","West.Midlands",632,"West Midlands",2016-01-01,FALSE,"West Midlands",NA
"114","Jan-16","01/01/2016","East",843,"East",2016-01-01,TRUE,"East",NA
"115","Jan-16","01/01/2016","London",1652,"London",2016-01-01,TRUE,"London",NA
"116","Jan-16","01/01/2016","South.East",963,"South East",2016-01-01,TRUE,"South East",NA
"117","Jan-16","01/01/2016","South.West",800,"South West",2016-01-01,FALSE,"South West",NA
"118","Feb-16","01/02/2016","North.East",537,"North East",2016-02-01,FALSE,"North East",NA
"119","Feb-16","01/02/2016","North.West",602,"North West",2016-02-01,FALSE,"North West",NA
"120","Feb-16","01/02/2016","Yorkshire.and.the.Humber",585,"Yorkshire and the Humber",2016-02-01,FALSE,"Yorkshire and the Humber",NA
"121","Feb-16","01/02/2016","East.Midlands",576,"East Midlands",2016-02-01,FALSE,"East Midlands",NA
"122","Feb-16","01/02/2016","West.Midlands",634,"West Midlands",2016-02-01,FALSE,"West Midlands",NA
"123","Feb-16","01/02/2016","East",847,"East",2016-02-01,TRUE,"East",NA
"124","Feb-16","01/02/2016","London",1652,"London",2016-02-01,TRUE,"London",NA
"125","Feb-16","01/02/2016","South.East",967,"South East",2016-02-01,TRUE,"South East",NA
"126","Feb-16","01/02/2016","South.West",803,"South West",2016-02-01,FALSE,"South West",NA
"127","Mar-16","01/03/2016","North.East",537,"North East",2016-03-01,FALSE,"North East",NA
