"","Year","gss_code","gss_name","SUM_ASFR_new","SUM_AgeXASFR_new","TFR","SMA","Inner","BoroughName","Inner_factor","year_numeric","year_factor","firstSMA","lastSMA","AbsChange_SMA","firstTFR","lastTFR","AbsChange_TFR"
"21","2021","E09000022","Lambeth",1.14655762731388,38.1625146721893,1.14655762731388,33.7844278936029,1,"Lambeth","Inner",2021,"2021",28.6775572810876,33.7844278936029,5.10687061251527,1.67437869508317,1.14655762731388,-0.527821067769286
"22","2021","E09000023","Lewisham",1.40706415816845,45.0387046269989,1.40706415816845,32.5089914632073,1,"Lewisham","Inner",2021,"2021",28.414554854127,32.5089914632073,4.09443660908032,1.6524533252541,1.40706415816845,-0.245389167085656
"23","2021","E09000024","Merton",1.48883741975595,48.1771005266868,1.48883741975595,32.858872693154,0,"Merton","Outer",2021,"2021",29.3957069238259,32.858872693154,3.46316576932814,1.69643285198601,1.48883741975595,-0.207595432230057
"24","2021","E09000025","Newham",1.59518164522389,49.1319441633988,1.59518164522389,31.3002190913517,1,"Newham","Inner",2021,"2021",27.6427685298911,31.3002190913517,3.65745056146059,2.2754534027453,1.59518164522389,-0.68027175752141
"25","2021","E09000026","Redbridge",1.79332184917511,54.9107272177418,1.79332184917511,31.119560701276,0,"Redbridge","Outer",2021,"2021",28.8762712927141,31.119560701276,2.2432894085619,1.7660098571597,1.79332184917511,0.0273119920154112
"26","2021","E09000027","Richmond upon Thames",1.5760313915233,52.4675921408665,1.5760313915233,33.7909562735006,0,"Richmond upon Thames","Outer",2021,"2021",30.9547131402749,33.7909562735006,2.8362431332257,1.60226350428817,1.5760313915233,-0.026232112764869
"27","2021","E09000028","Southwark",1.15647121623457,38.7487850848849,1.15647121623457,34.0060523261872,1,"Southwark","Inner",2021,"2021",28.334941211714,34.0060523261872,5.67111111447316,1.81999266171777,1.15647121623457,-0.6635214454832
"28","2021","E09000029","Sutton",1.58609996604998,49.0077449997966,1.58609996604998,31.3982700011307,0,"Sutton","Outer",2021,"2021",28.8173839076091,31.3982700011307,2.58088609352159,1.72572801999993,1.58609996604998,-0.139628053949946
"29","2021","E09000030","Tower Hamlets",1.21619537753179,39.4445372231708,1.21619537753179,32.9327307535253,1,"Tower Hamlets","Inner",2021,"2021",27.5832890810191,32.9327307535253,5.34944167250626,2.28546773419691,1.21619537753179,-1.06927235666512
"30","2021","E09000031","Waltham Forest",1.64867818937755,51.9710441250939,1.64867818937755,32.0228553758665,0,"Waltham Forest","Outer",2021,"2021",28.280417088343,32.0228553758665,3.74243828752347,1.92854886181437,1.64867818937755,-0.279870672436818
"31","2021","E09000032","Wandsworth",1.21521188777829,41.3142670976022,1.21521188777829,34.4975830660569,1,"Wandsworth","Inner",2021,"2021",29.8396268284838,34.4975830660569,4.65795623757316,1.48985641983251,1.21521188777829,-0.274644532054224
"32","2021","E09000033","Westminster",1.10572103257098,37.4570733640844,1.10572103257098,34.375699440202,1,"Westminster","Inner",2021,"2021",30.1675902722889,34.375699440202,4.20810916791306,1.41213259906072,1.10572103257098,-0.306411566489733
