"","Year","age_mother","SUM_births","SUM_pop","EandW_ASFR","EandW_ASFR_perK"
"68","1996","20",16922,243487,0.0694985769260782,69.4985769260782
"69","1996","21",18627,258176,0.0721484568666336,72.1484568666336
"70","1996","22",21203,269032,0.0788121859109697,78.8121859109697
"71","1996","23",24056,288845,0.0832834219044816,83.2834219044816
"72","1996","24",27787,306812,0.0905668617915857,90.5668617915857
"73","1996","25",32203,319374,0.100831626870065,100.831626870065
"74","1996","26",34065,315113,0.108104076950173,108.104076950173
"75","1996","27",36718,326275,0.1125369703471,112.5369703471
"76","1996","28",37993,329263,0.115388002903454,115.388002903454
"77","1996","29",38269,339452,0.112737588819627,112.737588819627
"78","1996","30",37412,344592,0.108568974323258,108.568974323258
"79","1996","31",35148,349283,0.100629002842967,100.629002842967
"80","1996","32",31194,349336,0.089295119884581,89.295119884581
"81","1996","33",26471,345018,0.0767235332649311,76.7235332649311
"82","1996","34",22001,339090,0.0648824795776932,64.8824795776932
"83","1996","35",17533,331060,0.0529601884854709,52.9601884854709
"84","1996","36",13739,318604,0.0431224968926944,43.1224968926944
"85","1996","37",10412,314671,0.0330885273825678,33.0885273825678
"86","1996","38",7640,311115,0.0245568358966941,24.5568358966941
"87","1996","39",5523,302566,0.0182538685774343,18.2538685774343
"88","1996","42",9321,1448988,0.00643276548874111,6.43276548874111
"89","1997","17",40912,1320830,0.030974463027036,30.974463027036
"90","1997","20",16180,232808,0.069499329919934,69.499329919934
"91","1997","21",18009,245371,0.0733949814770287,73.3949814770287
"92","1997","22",19781,259533,0.0762176678880913,76.2176678880913
"93","1997","23",22043,270957,0.0813523917079094,81.3523917079094
"94","1997","24",25680,289902,0.0885816586294679,88.5816586294679
"95","1997","25",29321,307693,0.0952930355906699,95.2930355906699
"96","1997","26",33598,320792,0.104734532033218,104.734532033218
"97","1997","27",34692,317259,0.109349143759515,109.349143759515
"98","1997","28",36886,328635,0.11224002312596,112.24002312596
"99","1997","29",37495,332107,0.112900360426007,112.900360426007
"100","1997","30",36792,341061,0.107875130841697,107.875130841697
"101","1997","31",34503,345936,0.0997381018454281,99.7381018454281
"102","1997","32",31546,350259,0.0900647806337596,90.0647806337596
"103","1997","33",27556,350111,0.0787064673774888,78.7064673774888
