"","year","SUM_ASFR","TFR","age_Cat"
"130",2014,102.561888581883,0.512809442909417,"30 - 34"
"131",2014,78.7087548178133,0.393543774089066,"35 - 39"
"132",2014,24.1856767012069,0.120928383506034,"40 - 44"
"133",2015,10.6127947321543,0.0530639736607717,"15 - 19"
"134",2015,41.8584597823794,0.209292298911897,"20 - 24"
"135",2015,70.9554900921334,0.354777450460667,"25 - 29"
"136",2015,103.109731668793,0.515548658343963,"30 - 34"
"137",2015,80.6032741473174,0.403016370736587,"35 - 39"
"138",2015,25.2503752828625,0.126251876414312,"40 - 44"
"139",2016,10.247160988644,0.0512358049432198,"15 - 19"
"140",2016,39.9964986651161,0.19998249332558,"20 - 24"
"141",2016,67.8122430974676,0.339061215487338,"25 - 29"
"142",2016,102.777771425566,0.51388885712783,"30 - 34"
"143",2016,80.3990391529206,0.401995195764603,"35 - 39"
"144",2016,25.867138847121,0.129335694235605,"40 - 44"
"145",2017,9.62660967330591,0.0481330483665296,"15 - 19"
"146",2017,39.4623553046972,0.197311776523486,"20 - 24"
"147",2017,65.4956164174481,0.327478082087241,"25 - 29"
"148",2017,100.551610753776,0.502758053768882,"30 - 34"
"149",2017,79.5901072969767,0.397950536484883,"35 - 39"
"150",2017,25.7224605680219,0.12861230284011,"40 - 44"
"151",2018,8.60195060187091,0.0430097530093546,"15 - 19"
"152",2018,36.9229681115437,0.184614840557718,"20 - 24"
"153",2018,60.8612535560911,0.304306267780456,"25 - 29"
"154",2018,95.69692898054,0.4784846449027,"30 - 34"
"155",2018,77.3802201857433,0.386901100928716,"35 - 39"
"156",2018,25.2512430571466,0.126256215285733,"40 - 44"
"157",2019,7.98769790561175,0.0399384895280587,"15 - 19"
"158",2019,36.1731139574259,0.18086556978713,"20 - 24"
"159",2019,58.0683121461947,0.290341560730974,"25 - 29"
"160",2019,93.8841152833335,0.469420576416667,"30 - 34"
"161",2019,76.715936837844,0.38357968418922,"35 - 39"
"162",2019,25.4764559593634,0.127382279796817,"40 - 44"
"163",2020,6.65232514401396,0.0332616257200698,"15 - 19"
"164",2020,33.6030871583155,0.168015435791577,"20 - 24"
"165",2020,55.7068505703913,0.278534252851957,"25 - 29"
"166",2020,90.7775395305638,0.453887697652819,"30 - 34"
"167",2020,72.5809755997624,0.362904877998812,"35 - 39"
"168",2020,24.2450459358135,0.121225229679067,"40 - 44"
"169",2021,5.43273938137004,0.0271636969068502,"15 - 19"
"170",2021,32.2882777930386,0.161441388965193,"20 - 24"
"171",2021,55.373765591881,0.276868827959405,"25 - 29"
"172",2021,94.0423178511152,0.470211589255576,"30 - 34"
"173",2021,76.9952289001318,0.384976144500659,"35 - 39"
"174",2021,24.334450454745,0.121672252273725,"40 - 44"
