"","Date","Area_Code","Area_Name","Count","Mean","Lower_quartile","Median","Upper_quartile","Lower_quartile_num","Rentals_Cat"
"113",2815,"E07000152","East Northamptonshire",210,744,"675",750,"825",675,"300 -"
"114",2820,"E07000153","Kettering",430,727,"675",725,"795",675,"300 -"
"115",2825,"E07000154","Northampton",1090,785,"725",775,"850",725,"300 -"
"116",2830,"E07000155","South Northamptonshire",140,840,"775",850,"900",775,"300 -"
"117",2835,"E07000156","Wellingborough",210,713,"650",710,"775",650,"300 -"
"118",NA,"E10000024","Nottinghamshire",2970,633,"550",625,"700",550,"300 -"
"119",3005,"E07000170","Ashfield",490,586,"515",595,"650",515,"300 -"
"120",3010,"E07000171","Bassetlaw",270,555,"495",550,"600",495,"300 -"
"121",3015,"E07000172","Broxtowe",360,727,"625",700,"820",625,"300 -"
"122",3020,"E07000173","Gedling",380,674,"595",675,"750",595,"300 -"
"123",3025,"E07000174","Mansfield",650,570,"500",575,"645",500,"300 -"
"124",3030,"E07000175","Newark and Sherwood",390,609,"550",600,"650",550,"300 -"
"125",3040,"E07000176","Rushcliffe",430,741,"650",750,"825",650,"300 -"
"126",1850,"E06000019","Herefordshire, County of UA",560,673,"580",675,"750",580,"300 -"
"127",3245,"E06000051","Shropshire UA",910,640,"575",625,"695",575,"300 -"
"128",3455,"E06000021","Stoke-on-Trent UA",1430,504,"425",495,"550",425,"300 -"
"129",3240,"E06000020","Telford and Wrekin UA",500,637,"580",643,"695",580,"300 -"
"130",NA,"E10000028","Staffordshire",2770,663,"575",650,"725",575,"300 -"
"131",3405,"E07000192","Cannock Chase",310,646,"595",650,"700",595,"300 -"
"132",3410,"E07000193","East Staffordshire",500,651,"595",650,"695",595,"300 -"
"133",3415,"E07000194","Lichfield",410,786,"685",775,"875",685,"300 -"
"134",3420,"E07000195","Newcastle-under-Lyme",440,615,"525",595,"675",525,"300 -"
"135",3430,"E07000196","South Staffordshire",100,703,"650",700,"750",650,"300 -"
"136",3425,"E07000197","Stafford",510,650,"590",645,"695",590,"300 -"
"137",3435,"E07000198","Staffordshire Moorlands",240,548,"475",550,"600",475,"300 -"
